,TrialNum,Subject,CorResp,accuracy,Resp,RT,Diapo,Age_year,Gender,paper_number
267,628,1011,Image5,0.0,Image3,11196.0,22,18,male,35
268,629,1011,Image1,0.0,Image3,13510.0,39,18,male,40
269,630,1011,Image2,1.0,Image2,10700.0,31,18,male,38
272,633,1012,Image5,1.0,Image5,3087.0,30,21,female,26
273,634,1012,Image6,1.0,Image6,2647.0,36,21,female,39
274,635,1012,Image5,1.0,Image5,1835.0,8,21,female,8
275,636,1012,Image3,0.0,Image5,2505.0,28,21,female,24
276,637,1012,Image4,1.0,Image4,5661.0,44,21,female,30
277,638,1012,Image5,1.0,Image5,3857.0,22,21,female,35
278,639,1012,Image3,1.0,Image3,1851.0,24,21,female,18
279,640,1012,Image1,1.0,Image1,1468.0,4,21,female,3
280,641,1012,Image2,1.0,Image2,2073.0,17,21,female,22
281,642,1012,Image5,1.0,Image5,2512.0,6,21,female,5
282,643,1012,Image6,1.0,Image6,2615.0,43,21,female,32
283,644,1012,Image4,1.0,Image4,4949.0,27,21,female,42
285,646,1012,Image6,0.0,Image4,2897.0,34,21,female,45
286,647,1012,Image1,1.0,Image1,1784.0,18,21,female,34
287,648,1012,Image2,1.0,Image2,4536.0,33,21,female,41
288,649,1012,Image3,1.0,Image3,3527.0,45,21,female,33
289,650,1012,Image5,1.0,Image5,2652.0,40,21,female,12
290,651,1012,Image1,1.0,Image1,1838.0,12,21,female,15
291,652,1012,Image3,1.0,Image3,1857.0,26,21,female,16
292,653,1012,Image4,1.0,Image4,1326.0,23,21,female,19
293,654,1012,Image4,1.0,Image4,1256.0,7,21,female,9
294,655,1012,Image4,1.0,Image4,1744.0,3,21,female,6
295,656,1012,Image3,1.0,Image3,2080.0,20,21,female,20
296,657,1012,Image2,1.0,Image2,1280.0,5,21,female,4
297,658,1012,Image2,0.0,Image4,3084.0,31,21,female,38
298,659,1012,Image6,1.0,Image6,2267.0,16,21,female,31
299,660,1012,Image1,0.0,Image3,3364.0,39,21,female,40
300,661,1012,Image5,1.0,Image5,1577.0,9,21,female,23
301,662,1012,Image6,0.0,Image5,3227.0,32,21,female,44
302,663,1012,Image6,1.0,Image6,4824.0,14,21,female,13
303,664,1012,Image6,1.0,Image6,5502.0,38,21,female,29
304,665,1012,Image2,1.0,Image2,2737.0,25,21,female,17
305,666,1012,Image3,1.0,Image3,4238.0,42,21,female,28
306,667,1012,Image4,0.0,Image3,1948.0,21,21,female,37
307,668,1012,Image1,1.0,Image1,6583.0,35,21,female,43
308,669,1012,Image1,0.0,Image5,4564.0,19,21,female,36
309,670,1012,Image5,1.0,Image5,1342.0,15,21,female,14
310,671,1012,Image6,0.0,Image2,2189.0,29,21,female,25
311,672,1012,Image2,1.0,Image2,1876.0,41,21,female,27
312,673,1012,Image3,1.0,Image3,1545.0,37,21,female,11
