Subject CorResp Acc Resp RT Diapo Age_year Gender
655 1012 Image4 1 Image4 1744 3 21 female
656 1012 Image3 1 Image3 2080 20 21 female
657 1012 Image2 1 Image2 1280 5 21 female
658 1012 Image2 0 Image4 3084 31 21 female
659 1012 Image6 1 Image6 2267 16 21 female
660 1012 Image1 0 Image3 3364 39 21 female
661 1012 Image5 1 Image5 1577 9 21 female
662 1012 Image6 0 Image5 3227 32 21 female
663 1012 Image6 1 Image6 4824 14 21 female
664 1012 Image6 1 Image6 5502 38 21 female
665 1012 Image2 1 Image2 2737 25 21 female
666 1012 Image3 1 Image3 4238 42 21 female
667 1012 Image4 0 Image3 1948 21 21 female
668 1012 Image1 1 Image1 6583 35 21 female
669 1012 Image1 0 Image5 4564 19 21 female
670 1012 Image5 1 Image5 1342 15 21 female
671 1012 Image6 0 Image2 2189 29 21 female
672 1012 Image2 1 Image2 1876 41 21 female
673 1012 Image3 1 Image3 1545 37 21 female
674 1012 Image1 1 Image1 3353 11 21 female
675 1012 Image5 1 Image5 2320 13 21 female
676 1013 Image6 1 Image6 2685 43 18 male
677 1013 Image5 1 Image5 3877 30 18 male
678 1013 Image2 1 Image2 4128 25 18 male
679 1013 Image1 1 Image1 2407 11 18 male
680 1013 Image1 1 Image1 1628 12 18 male
681 1013 Image5 1 Image5 2261 8 18 male
682 1013 Image4 1 Image4 5671 44 18 male
683 1013 Image1 1 Image1 2351 18 18 male
684 1013 Image5 1 Image5 2441 40 18 male
685 1013 Image6 1 Image6 5118 36 18 male
686 1013 Image2 1 Image2 1092 5 18 male
687 1013 Image5 1 Image5 4959 13 18 male
688 1013 Image6 1 Image6 2474 16 18 male
689 1013 Image2 1 Image2 1293 10 18 male
690 1013 Image2 1 Image2 2343 41 18 male
691 1013 Image6 1 Image6 3697 38 18 male
692 1013 Image6 1 Image6 3067 14 18 male
693 1013 Image2 1 Image2 1082 17 18 male
694 1013 Image1 1 Image1 4212 19 18 male
695 1013 Image5 1 Image5 1561 6 18 male
696 1013 Image4 1 Image4 3945 27 18 male
697 1013 Image1 1 Image1 5020 35 18 male
698 1013 Image4 1 Image4 2373 1 18 male
699 1013 Image3 1 Image3 1720 2 18 male
700 1013 Image4 1 Image4 1027 3 18 male
701 1013 Image1 1 Image1 1383 4 18 male
702 1013 Image4 0 Image3 4188 21 18 male
703 1013 Image2 0 Image6 3958 33 18 male
704 1013 Image6 1 Image6 22616 34 18 male
705 1013 Image3 1 Image3 5352 37 18 male
706 1013 Image4 1 Image4 1412 7 18 male
707 1013 Image4 1 Image4 2501 23 18 male
708 1013 Image3 1 Image3 4452 45 18 male
709 1013 Image3 1 Image3 2559 42 18 male
710 1013 Image3 1 Image3 4856 26 18 male
711 1013 Image6 1 Image6 4263 32 18 male
712 1013 Image3 1 Image3 7573 28 18 male
713 1013 Image5 1 Image5 10014 22 18 male
714 1013 Image5 1 Image5 1892 15 18 male
715 1013 Image3 1 Image3 1935 20 18 male
716 1013 Image2 1 Image2 5533 31 18 male
717 1013 Image5 1 Image5 1889 9 18 male
718 1013 Image1 0 Image6 12963 39 18 male
719 1013 Image6 1 Image6 5019 29 18 male
720 1013 Image3 1 Image3 1680 24 18 male
721 1014 Image3 1 Image3 2651 28 21 female
722 1014 Image6 1 Image6 3923 14 21 female
